Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   129228    0.030    0.000    0.345    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:53(draw)
    78320    0.022    0.000    0.130    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:125(draw)
    39344    0.421    0.000    0.421    0.000 {method 'blit' of 'pygame.Surface' objects}
    12456    0.004    0.000    0.004    0.000 C:\Program Files\Python310\lib\sre_parse.py:233(__next)
12290/11498    0.001    0.000    0.001    0.000 {built-in method builtins.len}
    11751    0.003    0.000    0.003    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
    11749    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
    11380    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
    11226    0.003    0.000    0.007    0.000 C:\Program Files\Python310\lib\sre_parse.py:254(get)
    11224    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     4575    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\sre_parse.py:164(__getitem__)
     4428    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4001    0.522    0.000    0.522    0.000 {method 'fill' of 'pygame.Surface' objects}
     3927    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
     3917    0.009    0.000    0.195    0.000 C:\Users\veeti\Desktop\Connect It\src\game.py:72(Get_Input)
     3917    0.019    0.000    2.323    0.001 C:\Users\veeti\Desktop\Connect It\src\game.py:114(Update)
     3917    0.001    0.000    0.001    0.000 {built-in method pygame.time.get_ticks}
     3917    0.003    0.000    0.003    0.000 {built-in method pygame.mouse.get_pos}
     3917    0.001    0.000    0.001    0.000 {built-in method pygame.mouse.get_pressed}
     3917    0.126    0.000    0.126    0.000 {built-in method pygame.event.get}
     3917    0.104    0.000    0.104    0.000 {built-in method pygame.display.set_caption}
     3916    0.007    0.000    0.008    0.000 C:\Users\veeti\Desktop\Connect It\src\game.py:104(Count_Delta_Time)
     3916    0.006    0.000    1.053    0.000 C:\Users\veeti\Desktop\Connect It\src\game.py:124(Draw)
     3916    0.048    0.000    0.525    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:130(Draw)
     3916    0.005    0.000    0.005    0.000 {method 'tick' of 'Clock' objects}
     3916    0.000    0.000    0.000    0.000 {method 'get_fps' of 'Clock' objects}
     3916    0.940    0.000    0.940    0.000 {built-in method pygame.display.update}
     3500    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
     2682    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     2573    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     2439    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:249(match)
     2424    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2421    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     2088    0.002    0.000    0.003    0.000 C:\Program Files\Python310\lib\ntpath.py:124(splitdrive)
     1628    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1610    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1565    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1561    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:160(__len__)
     1301    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
1080/1076    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1079    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1075    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:172(append)
      968    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:286(tell)
      964    0.002    0.000    0.005    0.000 C:\Program Files\Python310\lib\ntpath.py:77(join)
      908    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      888    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
      880    0.000    0.000    0.004    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
      836    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2095(__bool__)
  787/180    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\sre_parse.py:174(getwidth)
      785    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      767    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:111(__init__)
      764    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
      742    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      742    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
   680/64    0.003    0.000    0.008    0.000 C:\Program Files\Python310\lib\sre_compile.py:71(_compile)
      619    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      615    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE2493B920}
      528    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      515    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      491    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      471    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\copyreg.py:100(__newobj__)
      471    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
