Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3916    0.940    0.000    0.940    0.000 {built-in method pygame.display.update}
     4001    0.522    0.000    0.522    0.000 {method 'fill' of 'pygame.Surface' objects}
    39344    0.421    0.000    0.421    0.000 {method 'blit' of 'pygame.Surface' objects}
     3917    0.126    0.000    0.126    0.000 {built-in method pygame.event.get}
     3917    0.104    0.000    0.104    0.000 {built-in method pygame.display.set_caption}
        1    0.056    0.056    0.056    0.056 {built-in method pygame.base.quit}
     3916    0.048    0.000    0.525    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:130(Draw)
        1    0.031    0.031    0.150    0.150 {built-in method pygame.display.set_mode}
   129228    0.030    0.000    0.345    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:53(draw)
    78320    0.022    0.000    0.130    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:125(draw)
     3917    0.019    0.000    2.323    0.001 C:\Users\veeti\Desktop\Connect It\src\game.py:114(Update)
      417    0.011    0.000    0.011    0.000 {built-in method nt.stat}
     3917    0.009    0.000    0.195    0.000 C:\Users\veeti\Desktop\Connect It\src\game.py:72(Get_Input)
       55    0.008    0.000    0.008    0.000 {built-in method io.open_code}
   414/66    0.008    0.000    0.022    0.000 C:\Program Files\Python310\lib\sre_parse.py:493(_parse)
     3916    0.007    0.000    0.008    0.000 C:\Users\veeti\Desktop\Connect It\src\game.py:104(Count_Delta_Time)
        7    0.006    0.001    0.006    0.001 {built-in method _imp.create_dynamic}
     3916    0.006    0.000    1.053    0.000 C:\Users\veeti\Desktop\Connect It\src\game.py:124(Draw)
       55    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
       67    0.005    0.000    0.005    0.000 {method 'render' of 'pygame.font.Font' objects}
     3916    0.005    0.000    0.005    0.000 {method 'tick' of 'Clock' objects}
    12456    0.004    0.000    0.004    0.000 C:\Program Files\Python310\lib\sre_parse.py:233(__next)
   680/64    0.003    0.000    0.008    0.000 C:\Program Files\Python310\lib\sre_compile.py:71(_compile)
      742    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       54    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
    11226    0.003    0.000    0.007    0.000 C:\Program Files\Python310\lib\sre_parse.py:254(get)
    11751    0.003    0.000    0.003    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
     3917    0.003    0.000    0.003    0.000 {built-in method pygame.mouse.get_pos}
  225/222    0.003    0.000    0.025    0.000 {built-in method builtins.__build_class__}
     2088    0.002    0.000    0.003    0.000 C:\Program Files\Python310\lib\ntpath.py:124(splitdrive)
        1    0.002    0.002    2.333    2.333 C:\Users\veeti\Desktop\Connect It\src\game.py:26(Start_Game)
      280    0.002    0.000    0.003    0.000 C:\Program Files\Python310\lib\sre_compile.py:276(_optimize_charset)
       61    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      964    0.002    0.000    0.005    0.000 C:\Program Files\Python310\lib\ntpath.py:77(join)
    11749    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     4575    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\sre_parse.py:164(__getitem__)
       33    0.001    0.000    0.006    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:11(__init__)
  787/180    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\sre_parse.py:174(getwidth)
     3917    0.001    0.000    0.001    0.000 {built-in method pygame.mouse.get_pressed}
       28    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
12290/11498    0.001    0.000    0.001    0.000 {built-in method builtins.len}
    11380    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      150    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
    11224    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      471    0.001    0.000    0.003    0.000 C:\Program Files\Python310\lib\copy.py:66(copy)
   270/64    0.001    0.000    0.022    0.000 C:\Program Files\Python310\lib\sre_parse.py:435(_parse_sub)
     3917    0.001    0.000    0.001    0.000 {built-in method pygame.time.get_ticks}
       20    0.001    0.000    0.003    0.000 C:\Users\veeti\Desktop\Connect It\src\interface.py:66(__init__)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      888    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
     4428    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3927    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
       15    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      335    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
     1565    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      471    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\copy.py:259(_reconstruct)
       62    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.001    0.001    0.001    0.001 {built-in method pygame.display.set_icon}
       55    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       44    0.001    0.000    0.007    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2052(<genexpr>)
     2439    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:249(match)
     2682    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     3916    0.000    0.000    0.000    0.000 {method 'get_fps' of 'Clock' objects}
       84    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
1080/1076    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      142    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
      742    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       94    0.000    0.000    0.034    0.000 C:\Program Files\Python310\lib\re.py:288(_compile)
     1075    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:172(append)
      764    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
    111/5    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
     69/1    0.000    0.000    0.118    0.118 <frozen importlib._bootstrap>:1022(_find_and_load)
    148/3    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
       67    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      133    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
      471    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
     1561    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\sre_parse.py:160(__len__)
      280    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:249(_compile_charset)
      880    0.000    0.000    0.004    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
       65    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
